Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Writing technical documentation,Learning,Learn new skills,Medium,187,248,0.79,2023-04-04 11:00:00,270,Over,Good
Learning new technology,Work,Learn new skills,High,128,163,0.84,2023-03-31 16:00:00,420,Over,Good
Debugging,Learning,Write technical document,Medium,84,123,0.64,2023-04-01 12:00:00,55,Over,Fair
Complete coding challenge,Work,Submit a functioning solution,Low,87,71,0.6,2023-04-02 10:00:00,100,Under,Fair
Attending conference,Learning,Network with peers,Low,138,134,0.85,2023-03-29 17:00:00,80,Under,Good
Sprint planning,Work,Discuss project progress,Medium,148,184,0.94,2023-04-01 12:00:00,270,Over,Good
Complete coding challenge,Work,Refactor existing code,High,227,273,0.7,2023-03-30 15:00:00,55,Over,Fair
Debugging,Learning,Network with peers,Low,39,31,0.63,2023-03-29 17:00:00,350,Under,Fair
Code refactoring,Work,Discuss project progress,High,127,110,0.74,2023-04-01 12:00:00,190,Under,Fair
Attending conference,Learning,Network with peers,Medium,198,215,0.93,2023-03-30 14:00:00,190,Over,Good
Pair programming,Work,Refactor existing code,High,96,64,0.84,2023-03-28 14:00:00,190,Under,Good
Code refactoring,Learning,Network with peers,Medium,189,200,0.68,2023-04-04 11:00:00,270,Over,Fair
Attending conference,Learning,Code collaboratively,High,176,98,0.61,2023-04-01 12:00:00,320,Under,Fair
Attending conference,Work,Learn new skills,Low,150,219,0.98,2023-03-30 15:00:00,210,Over,Good
Writing technical documentation,Learning,Plan upcoming sprint,Medium,137,189,0.91,2023-03-29 11:00:00,220,Over,Good
Debugging,Work,Learn new skills,High,173,108,0.67,2023-03-31 16:00:00,320,Under,Fair
Sprint planning,Work,Network with peers,High,191,280,0.71,2023-03-30 14:00:00,320,Over,Fair
Code refactoring,Learning,Review code changes,Medium,90,134,0.63,2023-03-29 11:00:00,80,Over,Fair
Code refactoring,Work,Submit a functioning solution,Low,43,39,0.63,2023-03-31 16:00:00,320,Under,Fair
Debugging,Learning,Learn new programming language,Low,144,159,0.91,2023-04-01 12:00:00,420,Over,Good
Complete coding challenge,Learning,Refactor existing code,Low,164,204,0.97,2023-04-05 18:00:00,100,Over,Good
Debugging,Learning,Refactor existing code,High,54,73,0.76,2023-04-01 12:00:00,250,Over,Good
Complete coding challenge,Work,Refactor existing code,High,167,140,0.84,2023-04-02 10:00:00,420,Under,Good
Code review,Work,Plan upcoming sprint,Low,124,95,0.74,2023-03-28 14:00:00,80,Under,Fair
Attending training session,Learning,Learn new skills,High,179,217,0.97,2023-04-02 10:00:00,110,Over,Good
Writing technical documentation,Learning,Code collaboratively,Low,176,251,0.87,2023-04-04 11:00:00,250,Over,Good
Pair programming,Learning,Fix errors in code,High,232,252,0.83,2023-04-02 10:00:00,100,Over,Good
Code review,Work,Network with peers,Medium,35,28,0.75,2023-03-28 14:00:00,170,Under,Good
Learning new technology,Learning,Learn new skills,Medium,150,221,0.96,2023-03-29 17:00:00,350,Over,Good
Code refactoring,Learning,Review code changes,High,101,148,0.93,2023-04-01 12:00:00,220,Over,Good
Pair programming,Work,Learn new programming language,High,90,89,0.67,2023-03-30 14:00:00,110,Under,Fair
Code refactoring,Learning,Submit a functioning solution,High,88,71,0.78,2023-04-02 10:00:00,110,Under,Good
Code refactoring,Work,Review code changes,High,213,293,0.71,2023-03-30 15:00:00,420,Over,Fair
Attending conference,Work,Network with peers,Low,36,26,0.83,2023-04-04 11:00:00,320,Under,Good
Debugging,Work,Refactor existing code,High,65,39,0.87,2023-03-31 16:00:00,110,Under,Good
Sprint planning,Learning,Learn new programming language,Low,111,122,0.94,2023-04-01 12:00:00,250,Over,Good
Writing technical documentation,Learning,Submit a functioning solution,High,38,35,0.87,2023-03-30 15:00:00,130,Under,Good
Sprint planning,Learning,Write technical document,Low,77,112,0.71,2023-04-05 18:00:00,80,Over,Fair
Attend team meeting,Work,Review code changes,Medium,159,87,0.95,2023-03-30 15:00:00,100,Under,Good
Sprint planning,Work,Discuss project progress,Low,240,244,0.71,2023-03-31 16:00:00,420,Over,Fair
Attending training session,Work,Review code changes,Medium,112,73,0.62,2023-03-31 16:00:00,320,Under,Fair
Learning new technology,Work,Learn new programming language,Medium,95,98,0.83,2023-03-31 16:00:00,110,Over,Good
Code review,Work,Network with peers,Low,203,202,0.65,2023-04-01 12:00:00,130,Under,Fair
Debugging,Learning,Review code changes,Low,210,183,0.93,2023-03-28 10:00:00,220,Under,Good
Code refactoring,Learning,Review code changes,Low,191,147,0.99,2023-03-29 17:00:00,55,Under,Good
Attending training session,Learning,Write technical document,Medium,188,276,0.76,2023-03-29 17:00:00,80,Over,Good
Debugging,Work,Plan upcoming sprint,Medium,48,36,0.88,2023-03-30 14:00:00,270,Under,Good
Complete coding challenge,Learning,Review code changes,Low,113,130,0.69,2023-03-31 16:00:00,80,Over,Fair
Complete coding challenge,Learning,Submit a functioning solution,Medium,56,29,0.79,2023-04-04 11:00:00,270,Under,Good
Sprint planning,Work,Discuss project progress,Medium,35,23,0.86,2023-03-29 17:00:00,100,Under,Good
Complete coding challenge,Work,Fix errors in code,High,220,116,0.99,2023-04-01 12:00:00,170,Under,Good
Debugging,Work,Write technical document,High,152,161,0.76,2023-03-29 17:00:00,350,Over,Good
Attend team meeting,Work,Code collaboratively,Medium,57,31,0.77,2023-03-30 14:00:00,190,Under,Good
Code review,Work,Learn new skills,High,100,117,0.6,2023-03-28 14:00:00,250,Over,Fair
Writing technical documentation,Work,Learn new programming language,High,154,92,0.63,2023-03-30 15:00:00,110,Under,Fair
Writing technical documentation,Work,Submit a functioning solution,High,62,34,0.7,2023-04-01 12:00:00,270,Under,Fair
Writing technical documentation,Work,Learn new programming language,Low,214,312,0.83,2023-03-29 11:00:00,100,Over,Good
Attending conference,Learning,Write technical document,Medium,181,188,0.62,2023-04-04 11:00:00,55,Over,Fair
Attending conference,Learning,Write technical document,High,204,263,0.74,2023-03-31 16:00:00,110,Over,Fair
Attending training session,Work,Learn new skills,Medium,111,136,0.92,2023-04-02 10:00:00,350,Over,Good
Complete coding challenge,Work,Fix errors in code,High,210,250,0.66,2023-03-29 17:00:00,130,Over,Fair
Attend team meeting,Learning,Code collaboratively,Medium,115,161,0.9,2023-03-29 17:00:00,270,Over,Good
Attending conference,Learning,Plan upcoming sprint,Medium,135,109,0.75,2023-03-28 10:00:00,100,Under,Good
Sprint planning,Learning,Network with peers,High,228,264,0.66,2023-03-28 10:00:00,170,Over,Fair
Complete coding challenge,Work,Refactor existing code,Medium,203,294,0.64,2023-03-28 14:00:00,100,Over,Fair
Writing technical documentation,Learning,Network with peers,High,112,151,0.87,2023-03-31 16:00:00,220,Over,Good
Pair programming,Work,Fix errors in code,High,238,307,0.76,2023-04-04 11:00:00,270,Over,Good
Attending conference,Learning,Discuss project progress,High,226,320,0.78,2023-03-30 14:00:00,270,Over,Good
Attending conference,Learning,Fix errors in code,Low,84,78,0.97,2023-03-29 17:00:00,55,Under,Good
Learning new technology,Work,Write technical document,Medium,95,65,0.88,2023-03-30 15:00:00,250,Under,Good
Complete coding challenge,Work,Plan upcoming sprint,Low,212,250,0.65,2023-03-30 14:00:00,210,Over,Fair
Complete coding challenge,Learning,Code collaboratively,Medium,66,92,0.84,2023-04-02 10:00:00,250,Over,Good
Learning new technology,Learning,Plan upcoming sprint,Medium,202,118,0.91,2023-04-01 12:00:00,100,Under,Good
Learning new technology,Learning,Network with peers,High,121,116,0.9,2023-03-30 14:00:00,210,Under,Good
Debugging,Work,Submit a functioning solution,Medium,155,120,0.6,2023-04-02 10:00:00,270,Under,Fair
Code review,Work,Learn new programming language,High,135,202,0.67,2023-03-28 10:00:00,220,Over,Fair
Attending conference,Work,Fix errors in code,High,216,201,0.98,2023-03-28 14:00:00,170,Under,Good
Debugging,Learning,Learn new skills,High,132,178,0.82,2023-04-04 11:00:00,100,Over,Good
Writing technical documentation,Work,Network with peers,High,44,41,0.95,2023-04-05 18:00:00,420,Under,Good
Writing technical documentation,Learning,Fix errors in code,Low,70,72,0.6,2023-04-01 12:00:00,130,Over,Fair
Code review,Work,Fix errors in code,Medium,196,128,0.73,2023-03-28 10:00:00,130,Under,Fair
Debugging,Learning,Write technical document,Medium,175,116,0.63,2023-03-28 14:00:00,55,Under,Fair
Complete coding challenge,Learning,Submit a functioning solution,Medium,125,125,0.96,2023-03-28 10:00:00,270,Accurate,Excellent
Learning new technology,Work,Code collaboratively,High,134,97,0.75,2023-03-28 14:00:00,130,Under,Good
Attend team meeting,Work,Submit a functioning solution,Low,174,177,0.76,2023-03-29 11:00:00,210,Over,Good
Complete coding challenge,Work,Network with peers,Low,231,216,0.9,2023-03-30 14:00:00,80,Under,Good
Debugging,Work,Learn new programming language,Medium,43,61,0.66,2023-03-30 14:00:00,250,Over,Fair
Writing technical documentation,Work,Learn new skills,Low,227,154,0.64,2023-03-30 15:00:00,270,Under,Fair
Attending conference,Work,Discuss project progress,High,114,147,0.82,2023-03-30 14:00:00,55,Over,Good
Code refactoring,Learning,Plan upcoming sprint,High,110,89,0.94,2023-04-05 18:00:00,220,Under,Good
Code refactoring,Learning,Code collaboratively,Low,211,271,0.72,2023-03-30 15:00:00,190,Over,Fair
Complete coding challenge,Learning,Learn new programming language,Low,226,278,0.73,2023-04-01 12:00:00,55,Over,Fair
Writing technical documentation,Learning,Review code changes,Low,80,86,0.75,2023-04-01 12:00:00,100,Over,Good
Sprint planning,Learning,Learn new programming language,Medium,143,76,0.84,2023-03-29 17:00:00,220,Under,Good
Learning new technology,Work,Fix errors in code,High,212,232,0.76,2023-03-29 11:00:00,55,Over,Good
Sprint planning,Learning,Learn new programming language,Medium,42,35,0.78,2023-04-01 12:00:00,110,Under,Good
Pair programming,Work,Network with peers,Low,126,137,0.63,2023-03-29 11:00:00,170,Over,Fair
Attending training session,Learning,Learn new skills,Low,226,249,0.93,2023-03-29 17:00:00,190,Over,Good
Learning new technology,Learning,Fix errors in code,Low,131,169,0.9,2023-03-31 16:00:00,170,Over,Good
Pair programming,Work,Code collaboratively,High,174,165,0.77,2023-04-04 11:00:00,55,Under,Good
Learning new technology,Work,Network with peers,Low,160,83,0.69,2023-04-04 11:00:00,55,Under,Fair
Attending conference,Work,Plan upcoming sprint,Low,190,224,0.92,2023-03-29 17:00:00,420,Over,Good
Attend team meeting,Work,Learn new programming language,Low,111,81,0.91,2023-03-31 16:00:00,250,Under,Good
Sprint planning,Work,Review code changes,Low,94,74,0.89,2023-03-29 17:00:00,350,Under,Good
Sprint planning,Work,Refactor existing code,High,160,195,0.92,2023-03-29 11:00:00,270,Over,Good
Debugging,Learning,Discuss project progress,Medium,124,80,0.99,2023-03-29 17:00:00,100,Under,Good
Learning new technology,Learning,Learn new skills,Medium,87,88,0.71,2023-03-29 17:00:00,270,Over,Fair
Complete coding challenge,Work,Review code changes,Low,97,131,0.76,2023-03-30 15:00:00,420,Over,Good
Attend team meeting,Learning,Review code changes,Low,133,158,0.7,2023-04-02 10:00:00,210,Over,Fair
Code refactoring,Work,Review code changes,High,189,197,0.84,2023-03-30 14:00:00,130,Over,Good
Code refactoring,Learning,Network with peers,High,169,223,0.67,2023-03-28 10:00:00,110,Over,Fair
Complete coding challenge,Learning,Code collaboratively,Low,178,200,0.9,2023-04-04 11:00:00,170,Over,Good
Pair programming,Work,Plan upcoming sprint,Medium,177,99,0.91,2023-04-04 11:00:00,320,Under,Good
Code refactoring,Work,Network with peers,High,30,25,0.63,2023-03-29 17:00:00,220,Under,Fair
Code review,Work,Write technical document,High,41,34,0.69,2023-03-28 14:00:00,190,Under,Fair
Attending conference,Learning,Submit a functioning solution,Low,227,201,0.91,2023-03-30 14:00:00,270,Under,Good
Sprint planning,Work,Plan upcoming sprint,Low,221,233,0.99,2023-04-01 12:00:00,80,Over,Good
Debugging,Work,Fix errors in code,Low,131,67,1.0,2023-04-05 18:00:00,320,Under,Good
Code review,Work,Submit a functioning solution,Low,52,53,0.64,2023-03-30 15:00:00,250,Over,Fair
Code review,Learning,Plan upcoming sprint,Low,224,211,0.79,2023-04-05 18:00:00,250,Under,Good
Sprint planning,Work,Learn new programming language,Low,110,117,0.63,2023-03-28 14:00:00,190,Over,Fair
Code refactoring,Work,Network with peers,Low,63,38,0.91,2023-04-04 11:00:00,250,Under,Good
Sprint planning,Learning,Fix errors in code,Medium,100,120,0.76,2023-03-28 14:00:00,190,Over,Good
Attend team meeting,Learning,Discuss project progress,Low,32,18,0.87,2023-03-30 14:00:00,190,Under,Good
Pair programming,Learning,Fix errors in code,High,155,90,0.92,2023-04-04 11:00:00,80,Under,Good
Attending training session,Learning,Discuss project progress,Medium,56,66,0.65,2023-03-28 14:00:00,220,Over,Fair
Debugging,Work,Write technical document,High,223,185,1.0,2023-04-01 12:00:00,420,Under,Good
Attending training session,Learning,Network with peers,Medium,226,123,0.74,2023-03-30 15:00:00,350,Under,Fair
Code review,Work,Network with peers,Medium,237,248,0.92,2023-04-01 12:00:00,250,Over,Good
Sprint planning,Work,Write technical document,Low,160,146,0.84,2023-04-04 11:00:00,420,Under,Good
Attending conference,Learning,Discuss project progress,Low,169,160,0.7,2023-03-30 14:00:00,55,Under,Fair
Attending conference,Learning,Submit a functioning solution,Low,101,127,0.76,2023-03-31 16:00:00,320,Over,Good
Attending training session,Learning,Submit a functioning solution,High,127,88,0.83,2023-04-04 11:00:00,350,Under,Good
Sprint planning,Work,Plan upcoming sprint,Low,227,131,0.72,2023-04-05 18:00:00,80,Under,Fair
Learning new technology,Learning,Code collaboratively,Low,67,90,0.8,2023-03-28 10:00:00,210,Over,Good
Sprint planning,Work,Code collaboratively,Low,112,65,0.81,2023-03-28 10:00:00,55,Under,Good
Debugging,Learning,Plan upcoming sprint,Medium,97,144,0.86,2023-04-04 11:00:00,55,Over,Good
Attend team meeting,Work,Submit a functioning solution,Medium,39,25,0.63,2023-04-05 18:00:00,55,Under,Fair
Debugging,Learning,Network with peers,Medium,165,102,0.61,2023-03-31 16:00:00,80,Under,Fair
Debugging,Learning,Refactor existing code,Medium,162,124,0.97,2023-03-29 17:00:00,170,Under,Good
Attending conference,Learning,Learn new skills,High,111,150,0.62,2023-03-29 11:00:00,130,Over,Fair
Code review,Learning,Write technical document,Low,191,251,0.87,2023-03-30 15:00:00,130,Over,Good
Learning new technology,Work,Refactor existing code,High,219,278,0.96,2023-03-28 10:00:00,350,Over,Good
Attending training session,Work,Learn new skills,Medium,30,29,0.77,2023-03-31 16:00:00,130,Under,Good
Attend team meeting,Work,Refactor existing code,High,196,211,0.91,2023-03-31 16:00:00,220,Over,Good
Complete coding challenge,Learning,Fix errors in code,Medium,120,112,0.93,2023-03-30 15:00:00,420,Under,Good
Complete coding challenge,Learning,Plan upcoming sprint,High,100,96,0.86,2023-04-01 12:00:00,100,Under,Good
Code refactoring,Learning,Plan upcoming sprint,Medium,190,237,0.91,2023-03-29 11:00:00,130,Over,Good
Code refactoring,Work,Fix errors in code,Low,59,41,0.88,2023-04-05 18:00:00,250,Under,Good
Learning new technology,Work,Write technical document,Low,42,38,0.65,2023-04-04 11:00:00,55,Under,Fair
Attending training session,Learning,Network with peers,High,57,82,0.79,2023-04-02 10:00:00,420,Over,Good
Learning new technology,Learning,Write technical document,Medium,142,154,0.95,2023-03-28 14:00:00,210,Over,Good
Learning new technology,Work,Code collaboratively,High,123,85,0.7,2023-04-04 11:00:00,420,Under,Fair
Sprint planning,Learning,Refactor existing code,Low,148,201,0.75,2023-03-30 14:00:00,170,Over,Good
Attending training session,Work,Discuss project progress,Medium,152,133,0.8,2023-03-30 14:00:00,130,Under,Good
Sprint planning,Learning,Discuss project progress,Low,64,41,0.89,2023-03-30 14:00:00,110,Under,Good
Debugging,Work,Discuss project progress,Low,84,113,0.99,2023-03-28 10:00:00,270,Over,Good
Pair programming,Learning,Refactor existing code,High,209,242,0.99,2023-03-29 17:00:00,350,Over,Good
Learning new technology,Learning,Plan upcoming sprint,Medium,77,74,0.68,2023-04-02 10:00:00,250,Under,Fair
Complete coding challenge,Learning,Network with peers,Low,163,226,0.98,2023-03-28 14:00:00,420,Over,Good
Attending training session,Work,Code collaboratively,Low,196,123,0.98,2023-03-28 14:00:00,210,Under,Good
Sprint planning,Work,Discuss project progress,Medium,182,204,0.98,2023-03-29 11:00:00,350,Over,Good
Code refactoring,Work,Review code changes,Low,180,248,0.85,2023-04-04 11:00:00,420,Over,Good
Attend team meeting,Work,Plan upcoming sprint,High,100,105,0.78,2023-04-05 18:00:00,270,Over,Good
Debugging,Learning,Discuss project progress,Medium,151,170,0.82,2023-04-02 10:00:00,190,Over,Good
Pair programming,Work,Learn new skills,High,62,40,0.79,2023-04-01 12:00:00,55,Under,Good
Learning new technology,Work,Discuss project progress,High,176,198,0.66,2023-03-28 14:00:00,270,Over,Fair
Attending conference,Work,Fix errors in code,High,210,192,0.98,2023-03-29 11:00:00,320,Under,Good
